InstanceType,vCPUs,MemoryMiB,GPUs
r7a.medium,1,8192,0
r7a.metal-48xl,192,1572864,0
r7a.xlarge,4,32768,0
r7g.12xlarge,48,393216,0
r7g.16xlarge,64,524288,0
r7g.2xlarge,8,65536,0
r7g.4xlarge,16,131072,0
r7g.8xlarge,32,262144,0
r7g.large,2,16384,0
r7g.medium,1,8192,0
r7g.metal,64,524288,0
r7g.xlarge,4,32768,0
r7gd.12xlarge,48,393216,0
r7gd.16xlarge,64,524288,0
r7gd.2xlarge,8,65536,0
r7gd.4xlarge,16,131072,0
r7gd.8xlarge,32,262144,0
r7gd.large,2,16384,0
r7gd.medium,1,8192,0
r7gd.metal,64,524288,0
r7gd.xlarge,4,32768,0
r7i.12xlarge,48,393216,0
r7i.16xlarge,64,524288,0
r7i.24xlarge,96,786432,0
r7i.2xlarge,8,65536,0
r7i.48xlarge,192,1572864,0
r7i.4xlarge,16,131072,0
r7i.8xlarge,32,262144,0
r7i.large,2,16384,0
r7i.metal-24xl,96,786432,0
r7i.metal-48xl,192,1572864,0
r7i.xlarge,4,32768,0
r7iz.12xlarge,48,393216,0
r7iz.16xlarge,64,524288,0
r7iz.2xlarge,8,65536,0
r7iz.32xlarge,128,1048576,0
r7iz.4xlarge,16,131072,0
r7iz.8xlarge,32,262144,0
r7iz.large,2,16384,0
r7iz.metal-16xl,64,524288,0
r7iz.metal-32xl,128,1048576,0
r7iz.xlarge,4,32768,0
r8g.12xlarge,48,393216,0
r8g.16xlarge,64,524288,0
r8g.24xlarge,96,786432,0
r8g.2xlarge,8,65536,0
r8g.48xlarge,192,1572864,0
r8g.4xlarge,16,131072,0
r8g.8xlarge,32,262144,0
r8g.large,2,16384,0
r8g.medium,1,8192,0
r8g.metal-24xl,96,786432,0
r8g.metal-48xl,192,1572864,0
r8g.xlarge,4,32768,0
r8gb.12xlarge,48,393216,0
r8gb.16xlarge,64,524288,0
r8gb.24xlarge,96,786432,0
r8gb.2xlarge,8,65536,0
r8gb.4xlarge,16,131072,0
r8gb.8xlarge,32,262144,0
r8gb.large,2,16384,0
r8gb.medium,1,8192,0
r8gb.metal-24xl,96,786432,0
r8gb.xlarge,4,32768,0
r8gd.12xlarge,48,393216,0
r8gd.16xlarge,64,524288,0
r8gd.24xlarge,96,786432,0
r8gd.2xlarge,8,65536,0
r8gd.48xlarge,192,1572864,0
r8gd.4xlarge,16,131072,0
r8gd.8xlarge,32,262144,0
r8gd.large,2,16384,0
r8gd.medium,1,8192,0
r8gd.metal-24xl,96,786432,0
r8gd.metal-48xl,192,1572864,0
r8gd.xlarge,4,32768,0
r8gn.12xlarge,48,393216,0
r8gn.16xlarge,64,524288,0
r8gn.24xlarge,96,786432,0
r8gn.2xlarge,8,65536,0
r8gn.48xlarge,192,1572864,0
r8gn.4xlarge,16,131072,0
r8gn.8xlarge,32,262144,0
r8gn.large,2,16384,0
r8gn.medium,1,8192,0
r8gn.metal-24xl,96,786432,0
r8gn.metal-48xl,192,1572864,0
r8gn.xlarge,4,32768,0
r8i-flex.12xlarge,48,393216,0
r8i-flex.16xlarge,64,524288,0
r8i-flex.2xlarge,8,65536,0
r8i-flex.4xlarge,16,131072,0
r8i-flex.8xlarge,32,262144,0
r8i-flex.large,2,16384,0
r8i-flex.xlarge,4,32768,0
r8i.12xlarge,48,393216,0
r8i.16xlarge,64,524288,0
r8i.24xlarge,96,786432,0
r8i.2xlarge,8,65536,0
r8i.32xlarge,128,1048576,0
r8i.48xlarge,192,1572864,0
r8i.4xlarge,16,131072,0
r8i.8xlarge,32,262144,0
r8i.96xlarge,384,3145728,0
r8i.large,2,16384,0
r8i.metal-48xl,192,1572864,0
r8i.metal-96xl,384,3145728,0
r8i.xlarge,4,32768,0
t1.micro,1,627,0
t2.2xlarge,8,32768,0
t2.large,2,8192,0
t2.medium,2,4096,0
t2.micro,1,1024,0
t2.nano,1,512,0
t2.small,1,2048,0
t2.xlarge,4,16384,0
t3.2xlarge,8,32768,0
t3.large,2,8192,0
t3.medium,2,4096,0
t3.micro,2,1024,0
t3.nano,2,512,0
t3.small,2,2048,0
t3.xlarge,4,16384,0
t3a.2xlarge,8,32768,0
t3a.large,2,8192,0
t3a.medium,2,4096,0
t3a.micro,2,1024,0
t3a.nano,2,512,0
t3a.small,2,2048,0
t3a.xlarge,4,16384,0
t4g.2xlarge,8,32768,0
t4g.large,2,8192,0
t4g.medium,2,4096,0
t4g.micro,2,1024,0
t4g.nano,2,512,0
t4g.small,2,2048,0
t4g.xlarge,4,16384,0
trn1.2xlarge,8,32768,0
trn1.32xlarge,128,524288,0
trn1n.32xlarge,128,524288,0
trn2.48xlarge,192,2097152,0
u-3tb1.56xlarge,224,3145728,0
u-6tb1.112xlarge,448,6291456,0
u-6tb1.56xlarge,224,6291456,0
u7i-12tb.224xlarge,896,12582912,0
u7i-6tb.112xlarge,448,6291456,0
u7i-8tb.112xlarge,448,8388608,0
u7in-16tb.224xlarge,896,16777216,0
u7in-24tb.224xlarge,896,25165824,0
u7in-32tb.224xlarge,896,33554432,0
vt1.24xlarge,96,196608,0
vt1.3xlarge,12,24576,0
vt1.6xlarge,24,49152,0
x1.16xlarge,64,999424,0
x1.32xlarge,128,1998848,0
x1e.16xlarge,64,1998848,0
x1e.2xlarge,8,249856,0
x1e.32xlarge,128,3997696,0
x1e.4xlarge,16,499712,0
x1e.8xlarge,32,999424,0
x1e.xlarge,4,124928,0
x2gd.12xlarge,48,786432,0
x2gd.16xlarge,64,1048576,0
x2gd.2xlarge,8,131072,0
x2gd.4xlarge,16,262144,0
x2gd.8xlarge,32,524288,0
x2gd.large,2,32768,0
x2gd.medium,1,16384,0
x2gd.metal,64,1048576,0
x2gd.xlarge,4,65536,0
x2idn.16xlarge,64,1048576,0
x2idn.24xlarge,96,1572864,0
x2idn.32xlarge,128,2097152,0
x2idn.metal,128,2097152,0
x2iedn.16xlarge,64,2097152,0
x2iedn.24xlarge,96,3145728,0
x2iedn.2xlarge,8,262144,0
x2iedn.32xlarge,128,4194304,0
x2iedn.4xlarge,16,524288,0
x2iedn.8xlarge,32,1048576,0
x2iedn.metal,128,4194304,0
x2iedn.xlarge,4,131072,0
x2iezn.12xlarge,48,1572864,0
x2iezn.2xlarge,8,262144,0
x2iezn.4xlarge,16,524288,0
x2iezn.6xlarge,24,786432,0
x2iezn.8xlarge,32,1048576,0
x2iezn.metal,48,1572864,0
x8g.12xlarge,48,786432,0
x8g.16xlarge,64,1048576,0
x8g.24xlarge,96,1572864,0
x8g.2xlarge,8,131072,0
x8g.48xlarge,192,3145728,0
x8g.4xlarge,16,262144,0
x8g.8xlarge,32,524288,0
x8g.large,2,32768,0
x8g.medium,1,16384,0
x8g.metal-24xl,96,1572864,0
x8g.metal-48xl,192,3145728,0
x8g.xlarge,4,65536,0
z1d.12xlarge,48,393216,0
z1d.2xlarge,8,65536,0
z1d.3xlarge,12,98304,0
z1d.6xlarge,24,196608,0
z1d.large,2,16384,0
z1d.metal,48,393216,0
z1d.xlarge,4,32768,0
