InstanceType,vCPUs,MemoryMiB,GPUs
c8g.xlarge,4,8192,0
c8gd.12xlarge,48,98304,0
c8gd.16xlarge,64,131072,0
c8gd.24xlarge,96,196608,0
c8gd.2xlarge,8,16384,0
c8gd.48xlarge,192,393216,0
c8gd.4xlarge,16,32768,0
c8gd.8xlarge,32,65536,0
c8gd.large,2,4096,0
c8gd.medium,1,2048,0
c8gd.metal-24xl,96,196608,0
c8gd.metal-48xl,192,393216,0
c8gd.xlarge,4,8192,0
c8gn.12xlarge,48,98304,0
c8gn.16xlarge,64,131072,0
c8gn.24xlarge,96,196608,0
c8gn.2xlarge,8,16384,0
c8gn.48xlarge,192,393216,0
c8gn.4xlarge,16,32768,0
c8gn.8xlarge,32,65536,0
c8gn.large,2,4096,0
c8gn.medium,1,2048,0
c8gn.metal-24xl,96,196608,0
c8gn.metal-48xl,192,393216,0
c8gn.xlarge,4,8192,0
c8i-flex.12xlarge,48,98304,0
c8i-flex.16xlarge,64,131072,0
c8i-flex.2xlarge,8,16384,0
c8i-flex.4xlarge,16,32768,0
c8i-flex.8xlarge,32,65536,0
c8i-flex.large,2,4096,0
c8i-flex.xlarge,4,8192,0
c8i.12xlarge,48,98304,0
c8i.16xlarge,64,131072,0
c8i.24xlarge,96,196608,0
c8i.2xlarge,8,16384,0
c8i.32xlarge,128,262144,0
c8i.48xlarge,192,393216,0
c8i.4xlarge,16,32768,0
c8i.8xlarge,32,65536,0
c8i.96xlarge,384,786432,0
c8i.large,2,4096,0
c8i.metal-48xl,192,393216,0
c8i.metal-96xl,384,786432,0
c8i.xlarge,4,8192,0
d2.2xlarge,8,62464,0
d2.4xlarge,16,124928,0
d2.8xlarge,36,249856,0
d2.xlarge,4,31232,0
d3.2xlarge,8,65536,0
d3.4xlarge,16,131072,0
d3.8xlarge,32,262144,0
d3.xlarge,4,32768,0
d3en.12xlarge,48,196608,0
d3en.2xlarge,8,32768,0
d3en.4xlarge,16,65536,0
d3en.6xlarge,24,98304,0
d3en.8xlarge,32,131072,0
d3en.xlarge,4,16384,0
dl1.24xlarge,96,786432,8
dl2q.24xlarge,96,786432,0
f1.16xlarge,64,999424,0
f1.2xlarge,8,124928,0
f1.4xlarge,16,249856,0
f2.12xlarge,48,524288,0
f2.48xlarge,192,2097152,0
f2.6xlarge,24,262144,0
g4ad.16xlarge,64,262144,4
g4ad.2xlarge,8,32768,1
g4ad.4xlarge,16,65536,1
g4ad.8xlarge,32,131072,2
g4ad.xlarge,4,16384,1
g4dn.12xlarge,48,196608,4
g4dn.16xlarge,64,262144,1
g4dn.2xlarge,8,32768,1
g4dn.4xlarge,16,65536,1
g4dn.8xlarge,32,131072,1
g4dn.metal,96,393216,8
g4dn.xlarge,4,16384,1
g5.12xlarge,48,196608,4
g5.16xlarge,64,262144,1
g5.24xlarge,96,393216,4
g5.2xlarge,8,32768,1
g5.48xlarge,192,786432,8
g5.4xlarge,16,65536,1
g5.8xlarge,32,131072,1
g5.xlarge,4,16384,1
g5g.16xlarge,64,131072,2
g5g.2xlarge,8,16384,1
g5g.4xlarge,16,32768,1
g5g.8xlarge,32,65536,1
g5g.metal,64,131072,2
g5g.xlarge,4,8192,1
g6.12xlarge,48,196608,4
g6.16xlarge,64,262144,1
g6.24xlarge,96,393216,4
g6.2xlarge,8,32768,1
g6.48xlarge,192,786432,8
g6.4xlarge,16,65536,1
g6.8xlarge,32,131072,1
g6.xlarge,4,16384,1
g6e.12xlarge,48,393216,4
g6e.16xlarge,64,524288,1
g6e.24xlarge,96,786432,4
g6e.2xlarge,8,65536,1
g6e.48xlarge,192,1572864,8
g6e.4xlarge,16,131072,1
g6e.8xlarge,32,262144,1
g6e.xlarge,4,32768,1
g6f.2xlarge,8,32768,0
g6f.4xlarge,16,65536,0
g6f.large,2,8192,0
g6f.xlarge,4,16384,0
gr6.4xlarge,16,131072,1
gr6.8xlarge,32,262144,1
gr6f.4xlarge,16,131072,0
h1.16xlarge,64,262144,0
h1.2xlarge,8,32768,0
h1.4xlarge,16,65536,0
h1.8xlarge,32,131072,0
hpc6a.48xlarge,96,393216,0
hpc6id.32xlarge,64,1048576,0
hpc7a.12xlarge,24,786432,0
hpc7a.24xlarge,48,786432,0
hpc7a.48xlarge,96,786432,0
hpc7a.96xlarge,192,786432,0
hpc7g.16xlarge,64,131072,0
hpc7g.4xlarge,16,131072,0
hpc7g.8xlarge,32,131072,0
i2.2xlarge,8,62464,0
i2.4xlarge,16,124928,0
i2.8xlarge,32,249856,0
i2.xlarge,4,31232,0
i3.16xlarge,64,499712,0
i3.2xlarge,8,62464,0
i3.4xlarge,16,124928,0
i3.8xlarge,32,249856,0
i3.large,2,15616,0
i3.xlarge,4,31232,0
i3en.12xlarge,48,393216,0
i3en.24xlarge,96,786432,0
i3en.2xlarge,8,65536,0
i3en.3xlarge,12,98304,0
i3en.6xlarge,24,196608,0
i3en.large,2,16384,0
i3en.metal,96,786432,0
i3en.xlarge,4,32768,0
i4g.16xlarge,64,524288,0
i4g.2xlarge,8,65536,0
i4g.4xlarge,16,131072,0
i4g.8xlarge,32,262144,0
i4g.large,2,16384,0
i4g.xlarge,4,32768,0
i4i.12xlarge,48,393216,0
i4i.16xlarge,64,524288,0
i4i.24xlarge,96,786432,0
i4i.2xlarge,8,65536,0
i4i.32xlarge,128,1048576,0
i4i.4xlarge,16,131072,0
i4i.8xlarge,32,262144,0
i4i.large,2,16384,0
i4i.metal,128,1048576,0
i4i.xlarge,4,32768,0
i7i.12xlarge,48,393216,0
i7i.16xlarge,64,524288,0
i7i.24xlarge,96,786432,0
i7i.2xlarge,8,65536,0
i7i.48xlarge,192,1572864,0
i7i.4xlarge,16,131072,0
i7i.8xlarge,32,262144,0
i7i.large,2,16384,0
i7i.metal-24xl,96,786432,0
i7i.metal-48xl,192,1572864,0
i7i.xlarge,4,32768,0
i7ie.12xlarge,48,393216,0
i7ie.18xlarge,72,589824,0
i7ie.24xlarge,96,786432,0
i7ie.2xlarge,8,65536,0
i7ie.3xlarge,12,98304,0
i7ie.48xlarge,192,1572864,0
i7ie.6xlarge,24,196608,0
i7ie.large,2,16384,0
i7ie.metal-24xl,96,786432,0
i7ie.metal-48xl,192,1572864,0
i7ie.xlarge,4,32768,0
i8g.12xlarge,48,393216,0
i8g.16xlarge,64,524288,0
i8g.24xlarge,96,786432,0
i8g.2xlarge,8,65536,0
i8g.48xlarge,192,1572864,0
i8g.4xlarge,16,131072,0
i8g.8xlarge,32,262144,0
i8g.large,2,16384,0
i8g.metal-24xl,96,786432,0
i8g.xlarge,4,32768,0
i8ge.12xlarge,48,393216,0
i8ge.18xlarge,72,589824,0
i8ge.24xlarge,96,786432,0
i8ge.2xlarge,8,65536,0
i8ge.3xlarge,12,98304,0
i8ge.48xlarge,192,1572864,0
i8ge.6xlarge,24,196608,0
i8ge.large,2,16384,0
i8ge.metal-24xl,96,786432,0
i8ge.metal-48xl,192,1572864,0
i8ge.xlarge,4,32768,0
im4gn.16xlarge,64,262144,0
im4gn.2xlarge,8,32768,0
im4gn.4xlarge,16,65536,0
im4gn.8xlarge,32,131072,0
im4gn.large,2,8192,0
im4gn.xlarge,4,16384,0
inf1.24xlarge,96,196608,0
inf1.2xlarge,8,16384,0
inf1.6xlarge,24,49152,0
inf1.xlarge,4,8192,0
inf2.24xlarge,96,393216,0
inf2.48xlarge,192,786432,0
inf2.8xlarge,32,131072,0
inf2.xlarge,4,16384,0
is4gen.2xlarge,8,49152,0
is4gen.4xlarge,16,98304,0
is4gen.8xlarge,32,196608,0
is4gen.large,2,12288,0
is4gen.medium,1,6144,0
is4gen.xlarge,4,24576,0
m1.large,2,7680,0
m1.medium,1,3788,0
m1.small,1,1740,0
m1.xlarge,4,15360,0
m2.2xlarge,4,35020,0
m2.4xlarge,8,70041,0
m2.xlarge,2,17510,0
m3.2xlarge,8,30720,0
m3.large,2,7680,0
m3.medium,1,3840,0
m3.xlarge,4,15360,0
m4.10xlarge,40,163840,0
m4.16xlarge,64,262144,0
m4.2xlarge,8,32768,0
m4.4xlarge,16,65536,0
m4.large,2,8192,0
m4.xlarge,4,16384,0
m5.12xlarge,48,196608,0
m5.16xlarge,64,262144,0
m5.24xlarge,96,393216,0
m5.2xlarge,8,32768,0
m5.4xlarge,16,65536,0
m5.8xlarge,32,131072,0
m5.large,2,8192,0
m5.metal,96,393216,0
m5.xlarge,4,16384,0
m5a.12xlarge,48,196608,0
m5a.16xlarge,64,262144,0
m5a.24xlarge,96,393216,0
m5a.2xlarge,8,32768,0
m5a.4xlarge,16,65536,0
m5a.8xlarge,32,131072,0
m5a.large,2,8192,0
m5a.xlarge,4,16384,0
m5ad.12xlarge,48,196608,0
m5ad.16xlarge,64,262144,0
m5ad.24xlarge,96,393216,0
m5ad.2xlarge,8,32768,0
m5ad.4xlarge,16,65536,0
m5ad.8xlarge,32,131072,0
m5ad.large,2,8192,0
m5ad.xlarge,4,16384,0
m5d.12xlarge,48,196608,0
m5d.16xlarge,64,262144,0
m5d.24xlarge,96,393216,0
m5d.2xlarge,8,32768,0
m5d.4xlarge,16,65536,0
m5d.8xlarge,32,131072,0
m5d.large,2,8192,0
m5d.metal,96,393216,0
m5d.xlarge,4,16384,0
m5dn.12xlarge,48,196608,0
m5dn.16xlarge,64,262144,0
m5dn.24xlarge,96,393216,0
m5dn.2xlarge,8,32768,0
m5dn.4xlarge,16,65536,0
m5dn.8xlarge,32,131072,0
m5dn.large,2,8192,0
m5dn.metal,96,393216,0
m5dn.xlarge,4,16384,0
m5n.12xlarge,48,196608,0
m5n.16xlarge,64,262144,0
m5n.24xlarge,96,393216,0
m5n.2xlarge,8,32768,0
m5n.4xlarge,16,65536,0
m5n.8xlarge,32,131072,0
m5n.large,2,8192,0
m5n.metal,96,393216,0
m5n.xlarge,4,16384,0
m5zn.12xlarge,48,196608,0
m5zn.2xlarge,8,32768,0
m5zn.3xlarge,12,49152,0
m5zn.6xlarge,24,98304,0
m5zn.large,2,8192,0
m5zn.metal,48,196608,0
m5zn.xlarge,4,16384,0
m6a.12xlarge,48,196608,0
m6a.16xlarge,64,262144,0
m6a.24xlarge,96,393216,0
m6a.2xlarge,8,32768,0
m6a.32xlarge,128,524288,0
m6a.48xlarge,192,786432,0
m6a.4xlarge,16,65536,0
m6a.8xlarge,32,131072,0
m6a.large,2,8192,0
m6a.metal,192,786432,0
m6a.xlarge,4,16384,0
m6g.12xlarge,48,196608,0
m6g.16xlarge,64,262144,0
m6g.2xlarge,8,32768,0
m6g.4xlarge,16,65536,0
m6g.8xlarge,32,131072,0
m6g.large,2,8192,0
m6g.medium,1,4096,0
m6g.metal,64,262144,0
m6g.xlarge,4,16384,0
m6gd.12xlarge,48,196608,0
m6gd.16xlarge,64,262144,0
m6gd.2xlarge,8,32768,0
m6gd.4xlarge,16,65536,0
m6gd.8xlarge,32,131072,0
